cluster_id,cluster_id,total_weight
40,94,20
41,66,6
41,41,4134
41,43,11
41,118,6
41,92,7
41,93,7
41,64,7
42,42,1919
42,79,9
42,81,6
42,53,14
42,54,15
42,60,7
42,95,13
43,60,7
43,43,2911
43,48,23
43,51,8
43,53,31
43,56,9
43,61,13
44,73,6
44,44,6110
44,79,8
44,50,6
44,115,18
44,149,6
44,122,16
44,94,6
45,76,6
45,45,4627
45,120,6
46,53,6
46,149,6
46,46,2118
46,79,6
46,94,15
47,60,7
47,47,1679
48,134,6
48,149,113
48,165,11
48,166,15
48,48,19375
48,51,25
48,52,22
48,54,58
48,60,144
48,65,6
48,70,49
48,79,74
48,82,6
48,86,6
48,90,7
48,91,15
48,103,23
48,104,10
48,106,6
48,107,27
49,99,7
49,49,2571
50,66,23
50,68,10
50,104,10
50,109,6
50,79,8
50,50,2255
50,149,7
50,56,7
50,53,7
50,63,68
51,161,8
51,66,12
51,76,7
51,88,6
51,51,4840
51,149,13
51,55,18
51,58,14
51,91,16
51,94,11
52,65,14
52,148,6
52,134,6
52,52,11216
52,58,27
52,60,33
53,138,28
53,143,10
53,53,13060
53,54,9
53,55,29
53,56,167
53,63,51
53,65,95
53,68,56
53,75,7
53,87,10
53,91,8
53,102,8
53,104,16
53,147,7
53,120,23
53,125,16
54,149,7
54,60,6
54,148,6
54,105,8
54,79,9
54,54,7858
54,90,10
54,91,23
54,80,6
54,70,31
55,65,11
55,68,12
55,69,7
55,72,7
55,75,6
55,81,7
55,83,6
55,55,6037
55,120,6
55,57,8
55,94,8
55,63,28
56,143,8
56,56,10323
56,57,29
56,63,73
56,65,21
56,68,27
56,69,14
56,81,6
56,82,11
56,90,9
56,94,6
56,102,7
56,104,6
56,110,9
56,113,7
57,65,15
57,102,8
57,113,10
57,83,7
57,110,11
57,81,6
57,57,8424
57,90,7
57,125,10
57,63,8
57,64,11
58,69,26
58,104,8
58,136,6
58,110,6
58,90,6
58,58,5278
58,60,27
58,63,28
59,90,6
59,59,1701
59,61,6
60,70,34
60,167,10
60,138,7
60,79,8
60,60,8828
60,63,6
61,61,4495
61,70,6
62,100,12
62,62,4963
62,63,13
63,137,6
63,143,91
63,164,9
63,63,18712
63,65,39
63,66,42
63,68,82
63,69,21
63,72,9
63,75,13
63,82,8
63,84,6
63,86,7
63,88,6
63,90,6
63,100,31
63,109,7
63,110,8
63,118,9
63,123,13
64,66,18
64,68,7
64,104,10
64,94,11
64,64,3041
65,65,14554
65,68,38
65,69,8
65,74,6
65,75,22
65,88,8
65,100,8
65,110,13
65,113,7
65,114,7
65,123,6
66,138,27
66,66,14757
66,69,7
66,73,8
66,75,6
66,84,11
66,86,10
66,104,80
66,109,12
66,110,6
67,89,6
67,67,5330
67,70,6
68,68,7110
68,75,14
68,141,10
69,69,7106
69,75,22
69,143,15
70,130,6
70,70,5163
70,78,12
70,149,20
71,74,14
71,71,528
72,72,2933
72,139,7
72,105,7
73,73,3033
73,146,6
74,104,13
74,74,15263
74,153,11
74,92,92
75,75,5644
75,81,7
75,93,6
76,145,9
76,100,6
76,131,6
76,108,15
76,142,12
76,111,7
76,112,9
76,76,11525
76,140,7
76,80,17
76,95,11
77,77,3907
78,97,15
78,129,8
78,78,4008
78,93,6
79,98,11
79,136,13
79,139,6
79,79,7026
79,149,25
80,80,5517
81,109,7
81,142,6
81,81,2600
81,88,6
82,82,2774
82,117,7
82,124,6
83,99,8
83,135,6
83,115,13
83,83,3986
83,116,14
83,150,6
83,93,18
83,94,12
84,84,718
85,85,4083
86,86,3094
86,120,9
87,87,2302
88,104,6
88,137,6
88,88,3684
89,89,835
90,100,16
90,142,14
90,90,7687
90,102,6
91,105,6
91,121,9
91,91,2126
92,92,10218
92,157,21
93,124,6
93,93,5639
94,108,10
94,109,11
94,158,10
94,94,28671
95,135,9
95,144,6
95,95,7823
95,128,6
96,96,363
97,97,1702
97,104,14
98,98,1728
98,124,8
99,99,7498
99,101,6
100,100,3216
100,110,6
100,136,8
101,129,10
101,101,5823
102,102,1215
102,124,7
103,103,2082
104,104,7306
104,109,6
104,110,6
105,105,4343
106,106,923
107,107,1880
108,108,885
109,129,13
109,109,5602
110,110,2060
111,111,2792
112,112,367
113,113,1247
114,114,1196
115,115,1365
116,116,2556
117,117,1679
118,156,6
118,118,2590
119,119,714
120,151,6
120,120,4619
121,121,2224
122,122,2755
122,146,10
123,123,575
124,142,7
124,150,6
124,124,2568
125,125,1296
126,126,2211
127,127,345
128,128,477
129,129,2711
130,130,520
